INVDATE,STATE,ITEMNAME,RATE,SOLDQTY,GOODSVAL,ORDERTYPE,Year_Range,FY,Quarter,Region,Season
2021-06-02,HARYANA,"V.B.ELEVATOR CAP. 3 TPH, 3.75 MDH SPG (HANGING TYPE)",65000,1,65000,GOVT.,2021-2022,2021,Q1 2021,North,Summer/Pre-Monsoon
2021-06-02,HARYANA,SEED GRAVITY SEPARATOR MODEL G-4-P III,324000,1,324000,GOVT.,2021-2022,2021,Q1 2021,North,Summer/Pre-Monsoon
2021-06-02,HARYANA,SEED GRAVITY SEPARATOR MODEL G-4-P III,324000,1,324000,GOVT.,2021-2022,2021,Q1 2021,North,Summer/Pre-Monsoon
2021-06-02,CHATTISGARH,SEED GRAVITY SEPARATOR MODEL G-6-R,700000,1,700000,PVT.,2021-2022,2021,Q1 2021,Central,Summer
2021-06-02,CHATTISGARH,AGROSAW SEED CLEANER VIBAM-1026,1200000,1,1200000,PVT.,2021-2022,2021,Q1 2021,Central,Summer
2021-06-04,PUNJAB,SEED GRADER MODEL DELUX-II,290476.19,1,290476,PVT.,2021-2022,2021,Q1 2021,North,Summer/Pre-Monsoon
2021-06-05,HARYANA,"V.B.ELEVATOR CAP. 3 TPH, 3.5 MDH SPG (HANGING TYPE)",60000,1,60000,GOVT.,2021-2022,2021,Q1 2021,North,Summer/Pre-Monsoon
2021-06-05,HARYANA,"V.B.ELEVATOR CAP. 3 TPH, 3.75 MDH SPG (HANGING TYPE)",65000,1,65000,GOVT.,2021-2022,2021,Q1 2021,North,Summer/Pre-Monsoon
2021-06-05,HARYANA,SEED GRAVITY SEPARATOR MODEL G-4-P III,324000,1,324000,GOVT.,2021-2022,2021,Q1 2021,North,Summer/Pre-Monsoon
2021-06-08,HARYANA,"V.B.ELEVATOR CAP. 3 TPH, 3.5 MDH SPG (HANGING TYPE)",60000,1,60000,GOVT.,2021-2022,2021,Q1 2021,North,Summer/Pre-Monsoon
2021-06-08,HARYANA,"V.B.ELEVATOR CAP. 3 TPH, 3.75 MDH SPG (HANGING TYPE)",65000,1,65000,GOVT.,2021-2022,2021,Q1 2021,North,Summer/Pre-Monsoon
2021-06-08,HARYANA,SEED GRAVITY SEPARATOR MODEL G-4-P III,324000,1,324000,GOVT.,2021-2022,2021,Q1 2021,North,Summer/Pre-Monsoon
2021-06-08,UTTARAKHAND,"SEED GRAVITY SEPARATOR MODEL G-4-P II	",350000,1,350000,PVT.,2021-2022,2021,Q1 2021,North,Summer/Pre-Monsoon
2021-06-08,CHATTISGARH,"SEED GRAVITY SEPARATOR MODEL G-4-P II	",404762,1,404762,PVT.,2021-2022,2021,Q1 2021,Central,Summer
2021-06-08,UTTARAKHAND,SEED GRADER MODEL SG3 - II,500000,1,500000,PVT.,2021-2022,2021,Q1 2021,North,Summer/Pre-Monsoon
2021-06-09,HARYANA,"V.B.ELEVATOR CAP. 3 TPH, 3.5 MDH SPG (HANGING TYPE)",60000,2,120000,GOVT.,2021-2022,2021,Q1 2021,North,Summer/Pre-Monsoon
2021-06-09,HARYANA,"V.B.ELEVATOR CAP. 3 TPH, 3.75 MDH SPG (HANGING TYPE)",65000,2,130000,GOVT.,2021-2022,2021,Q1 2021,North,Summer/Pre-Monsoon
2021-06-09,MAHARASHTRA,SEED GRADING PLANT CAP-1.5 - 2 TPH,672498.67,1,672499,PVT.,2021-2022,2021,Q1 2021,West,Summer
2021-06-11,HARYANA,"V.B.ELEVATOR CAP. 3 TPH, 3.5 MDH SPG (HANGING TYPE)",60000,1,60000,GOVT.,2021-2022,2021,Q1 2021,North,Summer/Pre-Monsoon
2021-06-11,HARYANA,"V.B.ELEVATOR CAP. 3 TPH, 3.5 MDH SPG (HANGING TYPE)",60000,1,60000,GOVT.,2021-2022,2021,Q1 2021,North,Summer/Pre-Monsoon
